"","video","nmr1_track","nmr2_track","true_interaction_duration","true_interaction_n","phantom_interaction_duration","phantom_interaction_n"
"1","00-07F4-369D + 00-007F4-3A99 - foreign breeding pair introduction - 10min trim.analysis.h5",0,1,321,58,57,13
"2","000781083F + 00079BC6CF - two familiar Layla males paired - 5min trim.analysis.h5",0,1,351,56,73,10
"3","000795FCEA (Degas male) + 00078114E9 (Layla male) - foreign male introduction - 10min trim.analysis.h5",0,1,3552,369,98,20
"4","000795FCEA (Degas male) + 00078114E9 (Layla male) - foreign male introduction-part 2- Trim.analysis.h5",0,1,1620,167,64,17
"5","000795FCEA (Degas male) + 00078114E9 (Layla male) - foreign male introduction-part 3- Trim.analysis.h5",0,1,2659,279,95,21
"6","000795FCEA (Degas male) + 00079E1BA7 (Layla female) - foreign NMR breeding pair introduction - 10min trim.analysis.h5",0,1,3223,271,53,5
"7","000795FCEA (Degas male) + 00079E1BA7 (Layla female) - foreign NMR breeding pair introduction - part 3 - 10min trim.analysis.h5",0,1,1057,135,200,26
"8","000795FCEA + 0007969069 - two familiar Degas males paired - 5min trim.analysis.h5",0,1,319,27,81,15
"9","00079677E9 (Tinbergen male) + 00079BC6CF (Layla male) - foreign male introduction - 10min trim.analysis.h5",0,1,2152,292,95,23
"10","00079B95C0 + 00007F43A99 - two familiar females paired - 5min trim.analysis.h5",0,1,220,29,104,17
"11","0007F4255C + TR0007F40809 - foreign breeding pair introduction - 10min trim.analysis.h5",0,1,3349,323,78,19
"12","0007F42864 (Tinbergen female) + 000781083F (Layla male) - foreign NMR breeding pair introduction - 10min trim.analysis.h5",0,1,1295,173,83,10
"13","0007F42864 (Tinbergen female) + 000781083F (Layla male) - foreign NMR breeding pair introduction - part 2 - Trim.analysis.h5",0,1,633,88,180,22
"14","0007F42864 (Tinbergen female) + 000781083F (Layla male) - foreign NMR breeding pair introduction - part 3 - Trim.analysis.h5",0,1,871,90,237,38
"15","0007F42864 + TR0007F4429F - two familiar Tinbergen females paired - 5min trim.analysis.h5",0,1,179,18,22,4
"16","0007F4369D + 00079677E9 - two familiar Tinbergen males paired - 5min trim.analysis.h5",0,1,457,35,167,21
"17","0007F43A99 + 00079E1BA7 - two familiar Layla females paired - 5min trim.analysis.h5",0,1,491,40,138,18
"18","0007F4429E (Tinbergen female) + 00079BC6CF (Layla male) - Foreign NMR breeding pair introduction - 10min trim.analysis.h5",0,1,1728,164,88,25
"19","0007F4429E + 00007F43A99 - two foreign females paired - 10min trim.analysis.h5",0,1,1562,180,25,7
"20","0007F4429E + 00079B95C0 - two foreign females paired - 10min trim.analysis.h5",0,1,1476,139,183,30
"21","0007F4429E + 0007F439E6-two familiar Tinbergen females paired - 5min trim.analysis.h5",0,1,195,30,81,11
"22","0007FA255C (Degas female) + 0007F4429F (Tinbergen female) - foreign female introduction - 10min trim.analysis.h5",0,1,2616,251,127,28
"23","070-630-786 (pros queen) + 025-770-096 - 10min trim.h5",0,1,846,112,151,32
"24","070-630-786 (pros queen) + 025-815-577 - 10min trim.h5",0,1,850,179,94,19
"25","070-630-786 (pros queen) + 033-347-603 - 10min trim.h5",0,1,872,158,51,9
"26","070-630-786 (pros queen) + 035-792-015 - 10min trim.h5",0,1,870,143,142,37
"27","070-630-786 (pros queen) + 841-022-796 - 10min trim.h5",0,1,1140,179,101,14
"28","Two mole-rats open field-009-895-085 + 025-638-371 - 10min trim.h5",0,1,601,81,156,22
"29","Two mole-rats open field-035-792-015 + 838-343-793 - 10min trim.h5",0,1,1199,254,118,37
"30","Two mole-rats open field-070-613-123 + 075-045-624 - 10min trim.h5",0,1,772,152,196,47
"31","Two mole-rats open field-077-843-016 + 035-609-606 - 10min trim.h5",0,1,908,125,48,13
"32","Two mole-rats open field-600-575-076 +057-572-031 - 10min trim.h5",0,1,123,26,166,38
"33","Two mole-rats open field-841-006-592+600-575-076 - 10min trim.h5",0,1,1126,114,106,26
